RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,SpecCodeType,SpecCode,SpecVal,Sex,TotalNo,CatIdentifier,NoMeas,SubFactor,SubWgt,CatCatchWgt,LngtCode,LngtClass,HLNoAtLngt,DevStage,LenMeasType,ValidAphiaID,ScientificName_WoRMS,DateofCalculation
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88013,13,1988,W,127066,1,-9,14.00,1,7,1.0000,-9,2000,.,180,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88013,13,1988,W,127066,1,-9,14.00,1,7,1.0000,-9,2000,.,330,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88014,14,1988,W,127066,1,-9,116.00,1,29,1.0000,-9,23200,.,150,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88014,14,1988,W,127066,1,-9,116.00,1,29,1.0000,-9,23200,.,160,20.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88014,14,1988,W,127066,1,-9,116.00,1,29,1.0000,-9,23200,.,170,32.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88014,14,1988,W,127066,1,-9,116.00,1,29,1.0000,-9,23200,.,180,44.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88014,14,1988,W,127066,1,-9,116.00,1,29,1.0000,-9,23200,.,340,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88014,14,1988,W,127066,1,-9,116.00,1,29,1.0000,-9,23200,.,360,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88014,14,1988,W,127066,1,-9,116.00,1,29,1.0000,-9,23200,.,370,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88014,14,1988,W,127066,1,-9,116.00,1,29,1.0000,-9,23200,.,410,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88002,2,1988,W,127066,1,-9,16.00,1,8,1.0000,-9,1200,.,150,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88002,2,1988,W,127066,1,-9,16.00,1,8,1.0000,-9,1200,.,160,6.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88002,2,1988,W,127066,1,-9,16.00,1,8,1.0000,-9,1200,.,170,6.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88027,27,1988,W,127066,1,-9,76.00,1,19,1.0000,-9,6400,.,150,24.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88027,27,1988,W,127066,1,-9,76.00,1,19,1.0000,-9,6400,.,160,16.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88027,27,1988,W,127066,1,-9,76.00,1,19,1.0000,-9,6400,.,170,32.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88027,27,1988,W,127066,1,-9,76.00,1,19,1.0000,-9,6400,.,180,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88036,36,1988,W,127066,1,-9,3.00,1,1,1.0000,-9,300,.,160,3.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88045,45,1988,W,127066,1,-9,88.00,1,22,1.0000,-9,4400,.,70,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88045,45,1988,W,127066,1,-9,88.00,1,22,1.0000,-9,4400,.,80,20.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88045,45,1988,W,127066,1,-9,88.00,1,22,1.0000,-9,4400,.,90,8.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88045,45,1988,W,127066,1,-9,88.00,1,22,1.0000,-9,4400,.,140,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88045,45,1988,W,127066,1,-9,88.00,1,22,1.0000,-9,4400,.,150,20.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88045,45,1988,W,127066,1,-9,88.00,1,22,1.0000,-9,4400,.,160,16.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88045,45,1988,W,127066,1,-9,88.00,1,22,1.0000,-9,4400,.,170,16.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88030,30,1988,W,127066,1,-9,22.00,1,11,1.0000,-9,7000,.,80,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88030,30,1988,W,127066,1,-9,22.00,1,11,1.0000,-9,7000,.,170,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88030,30,1988,W,127066,1,-9,22.00,1,11,1.0000,-9,7000,.,280,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88030,30,1988,W,127066,1,-9,22.00,1,11,1.0000,-9,7000,.,290,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88030,30,1988,W,127066,1,-9,22.00,1,11,1.0000,-9,7000,.,300,6.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88030,30,1988,W,127066,1,-9,22.00,1,11,1.0000,-9,7000,.,320,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88054,54,1988,W,127066,1,-9,2.00,1,1,1.0000,-9,400,.,240,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88017,17,1988,W,127066,1,-9,6.00,1,3,1.0000,-9,3000,.,290,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88017,17,1988,W,127066,1,-9,6.00,1,3,1.0000,-9,3000,.,300,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88017,17,1988,W,127066,1,-9,6.00,1,3,1.0000,-9,3000,.,310,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88025,25,1988,W,127066,1,-9,7.06,1,2,1.0000,-9,352,.,130,3.53,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88025,25,1988,W,127066,1,-9,7.06,1,2,1.0000,-9,352,.,180,3.53,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88053,53,1988,W,127066,1,-9,2.00,1,1,1.0000,-9,200,.,160,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88033,33,1988,W,127066,1,-9,2.00,1,1,1.0000,-9,800,.,290,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88039,39,1988,W,127066,1,-9,4.00,1,2,1.0000,-9,2000,.,280,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88039,39,1988,W,127066,1,-9,4.00,1,2,1.0000,-9,2000,.,330,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88049,49,1988,W,127066,1,-9,3.53,1,1,1.0000,-9,352,.,180,3.53,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88050,50,1988,W,127066,1,-9,52.00,1,13,1.0000,-9,4400,.,150,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88050,50,1988,W,127066,1,-9,52.00,1,13,1.0000,-9,4400,.,160,20.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88050,50,1988,W,127066,1,-9,52.00,1,13,1.0000,-9,4400,.,170,20.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88050,50,1988,W,127066,1,-9,52.00,1,13,1.0000,-9,4400,.,180,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88050,50,1988,W,127066,1,-9,52.00,1,13,1.0000,-9,4400,.,190,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88041,41,1988,W,127066,1,-9,36.00,1,18,1.0000,-9,2599,.,140,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88041,41,1988,W,127066,1,-9,36.00,1,18,1.0000,-9,2599,.,160,20.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88041,41,1988,W,127066,1,-9,36.00,1,18,1.0000,-9,2599,.,170,8.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88041,41,1988,W,127066,1,-9,36.00,1,18,1.0000,-9,2599,.,180,6.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88062,62,1988,W,127066,1,-9,5.45,1,1,1.0000,-9,1636,.,280,5.45,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88059,59,1988,W,127066,1,-9,10.00,1,5,1.0000,-9,4400,.,280,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88059,59,1988,W,127066,1,-9,10.00,1,5,1.0000,-9,4400,.,290,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88059,59,1988,W,127066,1,-9,10.00,1,5,1.0000,-9,4400,.,310,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88059,59,1988,W,127066,1,-9,10.00,1,5,1.0000,-9,4400,.,320,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88060,60,1988,W,127066,1,-9,42.00,1,21,1.0000,-9,9399,.,160,8.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88060,60,1988,W,127066,1,-9,42.00,1,21,1.0000,-9,9399,.,170,14.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88060,60,1988,W,127066,1,-9,42.00,1,21,1.0000,-9,9399,.,200,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88060,60,1988,W,127066,1,-9,42.00,1,21,1.0000,-9,9399,.,270,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88060,60,1988,W,127066,1,-9,42.00,1,21,1.0000,-9,9399,.,280,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88060,60,1988,W,127066,1,-9,42.00,1,21,1.0000,-9,9399,.,290,8.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88060,60,1988,W,127066,1,-9,42.00,1,21,1.0000,-9,9399,.,310,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88060,60,1988,W,127066,1,-9,42.00,1,21,1.0000,-9,9399,.,330,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88063,63,1988,W,127066,1,-9,2.00,1,1,1.0000,-9,2,.,150,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88064,64,1988,W,127066,1,-9,2.00,1,1,1.0000,-9,2,.,170,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88066,66,1988,W,127066,1,-9,2.00,1,1,1.0000,-9,2,.,150,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88067,67,1988,W,127066,1,-9,2.00,1,1,1.0000,-9,800,.,290,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88068,68,1988,W,127066,1,-9,4.00,1,2,1.0000,-9,1600,.,300,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89031,31,1989,W,127066,1,-9,6.00,1,3,1.0000,-9,400,.,100,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89031,31,1989,W,127066,1,-9,6.00,1,3,1.0000,-9,400,.,210,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89040,40,1989,W,127066,1,-9,114.00,1,57,1.0000,-9,8199,.,70,6.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89040,40,1989,W,127066,1,-9,114.00,1,57,1.0000,-9,8199,.,80,6.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89040,40,1989,W,127066,1,-9,114.00,1,57,1.0000,-9,8199,.,90,22.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89016,16,1989,W,127066,1,-9,264.00,1,66,1.0000,-9,12800,.,70,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89016,16,1989,W,127066,1,-9,264.00,1,66,1.0000,-9,12800,.,80,20.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89016,16,1989,W,127066,1,-9,264.00,1,66,1.0000,-9,12800,.,90,68.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89016,16,1989,W,127066,1,-9,264.00,1,66,1.0000,-9,12800,.,100,68.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89016,16,1989,W,127066,1,-9,264.00,1,66,1.0000,-9,12800,.,110,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89016,16,1989,W,127066,1,-9,264.00,1,66,1.0000,-9,12800,.,160,20.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89016,16,1989,W,127066,1,-9,264.00,1,66,1.0000,-9,12800,.,170,24.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89016,16,1989,W,127066,1,-9,264.00,1,66,1.0000,-9,12800,.,180,44.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89016,16,1989,W,127066,1,-9,264.00,1,66,1.0000,-9,12800,.,190,12.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89028,28,1989,W,127066,1,-9,32.00,1,8,1.0000,-9,5199,.,80,8.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89028,28,1989,W,127066,1,-9,32.00,1,8,1.0000,-9,5199,.,190,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89028,28,1989,W,127066,1,-9,32.00,1,8,1.0000,-9,5199,.,200,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89028,28,1989,W,127066,1,-9,32.00,1,8,1.0000,-9,5199,.,230,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89028,28,1989,W,127066,1,-9,32.00,1,8,1.0000,-9,5199,.,240,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89028,28,1989,W,127066,1,-9,32.00,1,8,1.0000,-9,5199,.,250,8.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89030,30,1989,W,127066,7,-9,17.00,1,-9,1.0000,-9,500,-9,-9,-9.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89011,11,1989,W,127066,1,-9,576.00,1,144,1.0000,-9,17600,.,200,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89011,11,1989,W,127066,1,-9,576.00,1,144,1.0000,-9,17600,.,220,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89056,56,1989,W,127066,1,-9,4.00,1,1,1.0000,-9,4,.,110,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89058,58,1989,W,127066,1,-9,4.00,1,2,1.0000,-9,2400,.,250,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89058,58,1989,W,127066,1,-9,4.00,1,2,1.0000,-9,2400,.,370,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89061,61,1989,W,127066,1,-9,12.00,1,6,1.0000,-9,1799,.,100,10.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89061,61,1989,W,127066,1,-9,12.00,1,6,1.0000,-9,1799,.,360,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89011,11,1989,W,127066,1,-9,576.00,1,144,1.0000,-9,17600,.,70,56.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89011,11,1989,W,127066,1,-9,576.00,1,144,1.0000,-9,17600,.,80,92.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89011,11,1989,W,127066,1,-9,576.00,1,144,1.0000,-9,17600,.,90,176.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89011,11,1989,W,127066,1,-9,576.00,1,144,1.0000,-9,17600,.,100,140.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89011,11,1989,W,127066,1,-9,576.00,1,144,1.0000,-9,17600,.,110,20.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89011,11,1989,W,127066,1,-9,576.00,1,144,1.0000,-9,17600,.,160,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89011,11,1989,W,127066,1,-9,576.00,1,144,1.0000,-9,17600,.,170,44.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89011,11,1989,W,127066,1,-9,576.00,1,144,1.0000,-9,17600,.,180,20.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89011,11,1989,W,127066,1,-9,576.00,1,144,1.0000,-9,17600,.,190,16.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89023,23,1989,W,127066,1,-9,4.00,1,2,1.0000,-9,800,.,220,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89024,24,1989,W,127066,1,-9,2.00,1,1,1.0000,-9,2,.,70,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89040,40,1989,W,127066,1,-9,114.00,1,57,1.0000,-9,8199,.,100,48.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89040,40,1989,W,127066,1,-9,114.00,1,57,1.0000,-9,8199,.,110,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C89040,40,1989,W,127066,1,-9,114.00,1,57,1.0000,-9,8199,.,210,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
