"ESP_COD_FAO"	"ESP_LIB_FAO_FRANCAIS"
"NPN"	"Crevette corail"
"NPI"	"Crevette coromandel"
"NAW"	"Crevette javelot"
"NAH"	"Crevette chien"
"NAX"	"Crevette torpille"
"NIN"	"Crevette naine"
"NPB"	"Crevette parole"
"NAP"	"Crevette arc-en-ciel"
"NIT"	"Crevette glabre"
"NIU"	"Crevette uncta"
"NIV"	"Crevette adonis"
"NIG"	"Parapenaeopsis gracillima"
"NIB"	"Crevette ballli"
"BOB"	"Crevette seabob atlantique"
"TIT"	"Crevette seabob"
"TYK"	"Crevette os"
"TRV"	"Crevette-archer"
"TBY"	"Crevette carabali"
"TKN"	"Crevette gambri"
"TFO"	"Crevette gambri indienne"
"TFV"	"Crevette gambri brune"
"TFJ"	"Crevette pinto"
"TCQ"	"Crevette gambri nordique"
"TPQ"	"Crevette gambri grenue"
"HLW"	"Chlorella pyrenoidosa"
"NHO"	"Nannochloris atomus"
"UNI"	"Dunaliella salina"
"UNJ"	"Dunaliella tertiolecta"
"KMW"	"Crinière dressée"
"KMH"	"Crinière flottante"
"KIA"	"Codium adhaerens"
"KIR"	"Codium arabicum"
"YQY"	"Porcelaine lynx"
"YQM"	"Porcelaine réticulée"
"YQO"	"Porcelaine monnaie"
"YQV"	"Porcelaine anneau d'or Tahiti"
"YQX"	"Porcelaine onyx"
"YQH"	"Porcelaine de Schilder"
"YPZ"	"Porcelaine bouffon"
"YQN"	"Porcelaine gésier"
"YPH"	"Cyprea histrio"
"OVO"	"Ovule commune"
"VVV"	"Ovule navette"
"FIG"	"Pyrule gracile"
"FIU"	"Pyrule ficoide"
"KOC"	"Couleuvreau tacheté"
"YBV"	"Volute chauve-souris"
"EOQ"	"Volute diadème"
"EOX"	"Volute melon"
"VLU"	"Volute musique"
"VLV"	"Volute verte"
"YBC"	"Volute trompe de cochon"
"YBM"	"Volute marbrée"
"YBG"	"Volute trompe d'éléphant"
"YBP"	"Volute Neptune"
"HVC"	"Volute de Charcot"
"VCP"	"Volute de Challenger"
"ZDF"	"Volute angulée"
"HRQ"	"Harpe articulée"
"HRX"	"Harpe noble"
"HBM"	"Harpe majeure"
"VXR"	"Mitre froncée"
"VXU"	"Mitre petit-renard"
"KNL"	"Cône imprimé"
"KNQ"	"Cône petit-chêne"
"KNE"	"Cône de Surat"
"KNB"	"Cône bouleau"
"KOK"	"Cône couronné"
"KNV"	"Cône flave"
"KNG"	"Cône général"
"KOE"	"Cône léopard"
"KOV"	"Cône livide"
"KOO"	"Cône marbré"
"KOA"	"Cône rayé"
"KOQ"	"Cône mosaique"
"KUX"	"Cône textile"
"KUM"	"Cône souris"
"KUJ"	"Cône royale"
"BQK"	"Térèbre épissoire"
"BQE"	"Térèbre mouchetée"
"BQQ"	"Térèbre subulée"
"ULH"	"Térèbre châtaigne"
"KKX"	"Solarium géant"
"KKR"	"Solarium clair"
"DBU"	"Dolabelle commune"
"EBD"	"Auricule de Judas"
"EBM"	"Auricule de Midas"
"YHS"	"Pythie scarabee"
"QPB"	"Struthiolaire subantarctique"
"GFZ"	"Cipangopaludina chinensis"
"GKV"	"Glauconomye verte"
"KMB"	"Chame mexicaine"
"KML"	"Chame de Lazare"
"KMP"	"Chame réfléchie"
"KMS"	"Chame de Savigny"
"GQH"	"Isocarde globuleuse"
"RAW"	"Arche noisette"
"RKM"	"Arche crochue"
"RKQ"	"Arche de Noé"
"RQP"	"Arche chuchoque"
"RQV"	"Arche ventrue"
"RQZ"	"Arche zèbre"
"AKQ"	"Arche navicule"
"BQB"	"Arche barbue"
"BQF"	"Arche croisée"
"BQU"	"Arche bicolore"
"BIJ"	"Arche luride"
"NIL"	"Arche épaisse d'Afrique"
"NJG"	"Arche de Gambie"
"FCR"	"Arche incongrue"
"FCE"	"Scapharca chemnitzii"
"FCL"	"Arche globuleuse"
"FCI"	"Arche inéquivalve"
"FCD"	"Arche gouvernail"
"ACB"	"Scapharca broughtonii"
"TGB"	"Pteragogus amboinensis"
"SJV"	"Stethojulis albovittata"
"SZQ"	"Suezichthys arquatus"
"WEA"	"Wetmorella albofasciata"
"XJM"	"Xenojulis margaritaceus"
"XFT"	"Xiphocheilus typus"
"ENX"	"Centrolabre"
"COU"	"Girelle"
"RII"	"Coris gaimard"
"TBR"	"Rouquié"
"XYN"	"Donzelle lame"
"NAF"	"Anampses geographicus"
"BDR"	"Pourceau espagnol"
"BDI"	"Pourceau mexicain"
"BDE"	"Bodianus eclancheri"
"BDT"	"Labre de la perdition"
"BDQ"	"Labre à tache pectorale"
"HIF"	"Cheilinus fasciatus"
"HUU"	"Vieille triple queue"
"HVM"	"Napoléon"
"ODJ"	"Choerodon schoenleinii"
"OEZ"	"Choerodon azurio"
"OFD"	"Maldague robuste"
"LCX"	"Labre capitaine"
"OJC"	"Oxyjulis californica"
"TAU"	"Tautogue noir"
"TMP"	"Girelle paon"
"CUN"	"Tanche-tautogue"
"TMF"	"Thalassoma bifasciatum"
"TMD"	"Thalassoma duperrey"
"TWO"	"Girelle verte"
"DBB"	"Pseudolabrus biserialis"
"MFE"	"Semicossyphus reticulatus"
"YFH"	"Labre californien"
"GFV"	"Labre-oiseau"
"HJA"	"Halichoeres adustus"
"HJX"	"Halichoeres leucoxanthus"
"YFC"	"Crénilabre cendré"
"YFM"	"Crénilabre mélops"
"YFO"	"Symphodus ocellatus"
"LID"	"Labroides dimidiatus"
"HGF"	"Tamarin à bandes noires"
"HEW"	"Haletta semifasciata"
"NXB"	"Neoodax balteatus"
"OXP"	"Odax pullus"
"FGA"	"Siphonognathus argyrophanes"
"USJ"	"Calotomus japonicus"
"UUG"	"Perroquet mâchoiron"
"UUS"	"Perroquet marguerite"
"UUY"	"Chlorurus strongylocephalus"
"NCD"	"Nicholsina denticulata"
"RMF"	"Perroquet tacheté"
"RSY"	"Perroquet vert"
"PRR"	"Perroquet vieillard"
"USU"	"Scarus coeruleus"
"UVT"	"Perroquet périco"
"USF"	"Scarus forsteni"
"USS"	"Perroquet rayé"
"USN"	"Perroquet princesse"
"USW"	"Perroquet du Golfe"
"USZ"	"Perroquet à six bandes"
"USY"	"Perroquet barbe bleue"
"UVN"	"Perroquet dorade"
"LOV"	"Perroquet marbré"
"OUR"	"Perroquet à lèvre bleue"
"HJH"	"Perroquet candelamoa"
"USR"	"Perroquet à points rouges"
"BMK"	"Perroquet bossu vert"
"AHZ"	"Apolemichthys guezei"
"ENN"	"Poisson-ange nain africain"
"ENO"	"Centropyge joculator"
"ENZ"	"Poisson-ange brun"
"HBL"	"Chaetodontoplus ballinae"
"GEB"	"Genicanthus bellus"
"GEI"	"Genicanthus spinus"
"HLK"	"Demoiselle de Clarion"
"ENT"	"Centropyge multifasciata"
"OAN"	"Poisson-ange à anneau"
"OAI"	"Poisson ange impérial"
"OAV"	"Pomacanthus asfur"
"OAZ"	"Poisson-ange géographe"
"YGD"	"Poisson-ange duc"
"UYV"	"Sumireyakko venustus"
"ACW"	"Amblycirrhitus earnshawi"
"IRA"	"Épervier à taches rouges"
"WHM"	"Makaire blanc de l'Atlantique"
"SSP"	"Makaire à rostre court"
"SPF"	"Makaire bécune"
"RSP"	"Makaire épée"
"SWO"	"Espadon"
"SNK"	"Escolier"
"WSM"	"Escolier blanc"
"DLT"	"Escolier rayé"
"NIM"	"Escolier américain"
"SKD"	"Escolier oriental"
"LEC"	"Escolier noir"
"NEN"	"Escolier long nez"
"OIL"	"Rouvet"
"PDG"	"Escolier élégant"
"TEZ"	"Escolier antarctique"
"GEM"	"Escolier tifiati"
"RXA"	"Escolier longues ailes"
"RXP"	"Escolier royal"
"RQB"	"Escolier bengalais"
"RBJ"	"Escolier barracuda"
"RMW"	"Escolier dentu"
"RXJ"	"Escolier bécune"
"THM"	"Escolier gracile"
"EMG"	"Escolier maître"
"TBS"	"Escolier tonga"
"NLT"	"Escolier reptile"
"PRP"	"Escolier clair"
"GES"	"Escolier serpent"
"ASZ"	"Poisson-sabre rasoir"
"BDL"	"Poisson-sabre long"
"BDF"	"Poisson-sabre gros yeux"
"LHT"	"Poisson-sabre commun"
"EVP"	"Poisson-sabre latte"
"SFS"	"Sabre argenté"
"SDF"	"Poisson-sabre yatagan"
"LKP"	"Poisson-sabre bécune"
"SVH"	"Poisson-sabre cimeterre"
"BSF"	"Sabre noir"
"APH"	"Poisson-sabre tachuo"
"TKR"	"Poisson-sabre manchot"
"EGM"	"Poisson-sabre asbas"
"EWK"	"Poisson-sabre dentu"
"TGV"	"Tetragonurus cuvieri"
"BLB"	"Fiatole"
"TMB"	"Stromateus brasiliensis"
"BWB"	"Stromaté étoilé"
"SIP"	"Aileron argenté"
"CPO"	"Aileron chinois"
"ERP"	"Stromaté lune"
"BUT"	"Stromaté fossette"
"PPO"	"Stromaté argenté"
"DRI"	"Ariomme indienne"
"IMB"	"Ariomme grise"
"FPC"	"Anabas"
"TKY"	"Ctenopoma kingsleyae"
"TEN"	"Ctenopoma petherici"
"NDI"	"Sandelia bainsii"
"CBG"	"Dérivant"
"UBB"	"Cubiceps baxteri"
"UBA"	"Cubiceps caeruleus"
"UBP"	"Cubiceps capensis"
"UBO"	"Cubiceps kotlyari"
"UBU"	"Cubiceps pauciradiatus"
"NMG"	"Dérivant des physalies"
"PSC"	"Psenes cyanophrys"
"CEO"	"Centrolophe noir"
"ICA"	"Fiatole antarctique"
"HDT"	"Schedophilus huttoni"
"HDV"	"Rouffe impérial"
"SEY"	"Rouffe africain"
"HDW"	"Rouffe rayé"
"HFD"	"Schedophilus maculatus"
"TUT"	"Tubbia tasmanica"
"SEO"	"Sériolelle argentine"
"SEM"	"Seriolella brama"
"SEI"	"Sériolelle palmée"
"SEP"	"Seriolella punctata"
"SEU"	"Seriolella caerulea"
"BWA"	"Rouffe antarctique"
"HGY"	"Hyperoglyphe bythites"
"HYW"	"Hyperoglyphe perciformis"
"BUP"	"Stromaté du Japon"
"FGG"	"Gourami géant"
"EOH"	"Belontia hasselti"
"OAF"	"Colisa fasciatus"
"TSB"	"Ctenops nobilis"
"BDS"	"Betta splendens"
"TKJ"	"Crevette zèbre"
"TDZ"	"Crevette gambri malaise"
"TMY"	"Crevette gambri jaune"
"TLJ"	"Trachypenaeus longipes"
"TVZ"	"Trachypenaeus villaluzi"
"TVU"	"Crevette gambri lisse"
"PJE"	"Crevette aiguille"
"NIS"	"Crevette mégalops"
"NIA"	"Crevette fausse"
"NIE"	"Penaeopsis eduardoi"
"MJV"	"Crevette chamois tora"
"MMD"	"Crevette chamois des rizières"
"MJB"	"Crevette chamois barbulée"
"MJD"	"Crevette des récifs"
"MJI"	"Crevette chamois gaill"
"MDJ"	"Crevette chamois kishi"
"MJG"	"Crevette chamois caraïbe"
"MJJ"	"Crevette chamois ménestrel"
"MEQ"	"Crevette bossue"
"MLX"	"Crevette chamois trappue"
"NMJ"	"Crevette chamois mogi"
"NMU"	"Crevette chamois nordique"
"NMN"	"Crevette chamois méridionale"
"NMF"	"Crevette chamois philippe"
"NMQ"	"Crevette chamois rosée"
"NMY"	"Crevette violoneux"
"MEX"	"Crevette chamois tolo"
"MWL"	"Metapenaeopsis wellsi"
"MQB"	"Crevette chamois de Beebe"
"MKO"	"Crevette chamois insulaire"
"MMX"	"Crevette minière"
"YEO"	"Crevette orange"
"YET"	"Crevette périscope"
"ASH"	"Crevette stylet d'Argentine"
"SSH"	"Gambon écarlate"
"ARS"	"Gambon rouge"
"AHW"	"Gambon indien"
"ARA"	"Crevette rouge"
"ARV"	"Gambon rayé"
"AJA"	"Gambon d'Arabie"
"AJN"	"Gambon lisse"
"AVD"	"Gambon gaillard"
"ANJ"	"Crevette pourprée"
"HLQ"	"Crevette verte"
"PYX"	"Crevette à front rayé"
"PWY"	"Crevette tache"
"PRA"	"Crevette nordique"
"PJK"	"Crevette océanique"
"AES"	"Crevette ésope"
"DUD"	"Crevette des quais"
"DUJ"	"Crevette gibbeuse"
"DUK"	"Crevette hokkai"
"DLN"	"Crevette botan"
"DLS"	"Crevette oeillade"
"HKV"	"Crevette dorodo"
"CHS"	"Crevette nylon chilienne"
"HKI"	"Crevette nylon malgache"
"HKF"	"Crevette nylon armée"
"HKJ"	"Crevette nylon bossue"
"HKT"	"Crevette nylon inerme"
"HPQ"	"Crevette nylon mino"
"HTQ"	"Crevette nylon balafrée"
"HUV"	"Crevette nylon nordique"
"HPW"	"Crevette nylon indienne"
"HKY"	"Heterocarpus hayashii"
"HQV"	"Heterocarpus parvispina"
"HQF"	"Crevette nylon trois épines"
"HQO"	"Crevette nylon panaméenne"
"LKT"	"Crevette dorée"
"LKW"	"Crevette édouard"
"LKC"	"Crevette naine rayée"
"LKL"	"Crevette gondwana"
"LKN"	"Crevette catalane"
"LKS"	"Crevette gladiateur rayée"
"LKJ"	"Crevette profonde italienne"
"LKO"	"Crevette flèche"
"EKW"	"Crevette rayée guinéenne"
"EKB"	"Crevette long bec écarlate"
"EKO"	"Crevette long bec géante"
"EKX"	"Crevette long bec mexicaine"
"EKT"	"Crevette long bec colombienne"
"MCL"	"Arche crénelée"
"KFC"	"Arche cornée"
"FKP"	"Arche pilule"
"NDU"	"Arche de Sowerby"
"DOE"	"Arche semitorte"
"DOO"	"Arche hélice"
"BLC"	"Arche granuleuse"
"KCG"	"Codium contractum"
"KIY"	"Codium cylindricum"
"KIL"	"Codium edule"
"KII"	"Codium orvet"
"KIB"	"Codium platylobium"
"KIE"	"Codium repens"
"KIQ"	"Codium spongiosum"
"KJT"	"Codium tomentosum"
"KQB"	"Caulerpa brachypus"
"KQC"	"Caulerpa cupressoides"
"KQE"	"Caulerpa lentillifera"
"KQR"	"Caulerpa racemosa"
"KQS"	"Caulerpa serrulata"
"KQT"	"Caulerpa sertularioides"
"KQX"	"Caulerpa taxifolia"
"KQP"	"Caulerpe prolifère"
"HMW"	"Monnaie de Poseidon"
"MTN"	"Laitue brillante"
"EFP"	"Entéromorphe comprimée"
"EBN"	"Entéromorphe creuse"
"EBL"	"Enteromorpha lingulata"
"EBZ"	"Entéromorphe laitue"
"EBP"	"Entéromorphe prolifère"
"EOW"	"Entéromorphe vert claire"
"UVC"	"Ulva conglobata"
"UVF"	"Ulva fasciata"
"UVU"	"Laitue de mer"
"UVP"	"Ulva pertusa"
"UVR"	"Ulva reticulata"
"UVQ"	"Laitue chicorée"
"YDL"	"Hydroclathrus clathratus"
"PWF"	"Petale olive"
"LQD"	"Laminaire digitée"
"LNJ"	"Laminaire du Japon"
"LQX"	"Laminaire saccharine"
"LAH"	"Laminaire hyperborée"
"AJC"	"Alimentaire varech"
"EEZ"	"Furet arboricole"
"UDP"	"Wakamé"
"LJX"	"Lessonia nigrescens"
"LJZ"	"Lessonia trabeculata"
"LXF"	"Lessonie brunatre"
"MXY"	"Varech géant"
"MXF"	"Macrocystis integrifolia"
"FUV"	"Chone marin"
"FUU"	"Fucus serratus"
"FCV"	"Fucus d'Adriatique"
"UCE"	"Fucus gardneri"
"ASN"	"Ascophyllum nodosum"
"HLZ"	"Himanthalia elongata"
"DVA"	"Durvillée antarctique"
"YQT"	"Cystoseire dorée"
"GQL"	"Sargassum polycystum"
"GQJ"	"Sargassum cristaefolium"
"GQY"	"Sargassum oligocystum"
"RGV"	"Sargasse commune"
"GQU"	"Sargassum paniculatum"
"GQK"	"Sargassum crassifolium"
"GQB"	"Sargassum fusiforme"
"UIO"	"Turbinaria ornata"
"UIU"	"Turbinaria decurrens"
"UIC"	"Turbinaria conoides"
"IYJ"	"Parfum d'Antée"
"IPD"	"Rubanier olive"
"YKL"	"Dictyopteris plagiogramma"
"IYK"	"Rubainer fourchu"
"YNF"	"Houlette des Argonautes"
"YEB"	"Hypnea boergesenii"
"YEH"	"Hypnea charoides"
"YND"	"Hypnea chordacea"
"YAZ"	"Houlette deguenillée"
"YAX"	"Houlette robuste"
"YNQ"	"Hypnea cornuta"
"YAY"	"Hypnea japonica"
"YAD"	"Hypnea saidana"
"YAK"	"Hypnea spicifera"
"YAH"	"Hypnea spinella"
"YKE"	"Phyllophore membraneuse"
"IRX"	"Épervier à points rouges"
"IRF"	"Épervier rayé"
"IRV"	"Épervier géant"
"YPO"	"Épervier à queue d'hirondelle"
"ISX"	"Isocirrhitus sexfasciatus"
"NCR"	"Neocirrhites armatus"
"OXU"	"Épervier à nez long"
"RTC"	"Épervier strié"
"RCI"	"Épervier à bande noire"
"HIG"	"Chironemus georgianus"
"HRM"	"Threpterius maculosus"
"LDJ"	"Aplodactylus etheridgii"
"TLD"	"Castanette de St. Paul"
"YLN"	"Dactylophora nigricans"
"CTA"	"Castanette pontude"
"HAW"	"Castanette pintadille"
"EIS"	"Cheilodactylus spectabilis"
"EII"	"Cheilodactylus vittatus"
"EIZ"	"Cheilodactylus zebra"
"EIN"	"Cheilodactylus zonatus"
"EJZ"	"Cheilodactylus nigripes"
"CDD"	"Nemadactylus douglasii"
"TAK"	"Nemadactylus macropterus"
"IRB"	"Chirodactylus brachydactylus"
"IRG"	"Chirodactylus grandis"
"IRJ"	"Chirodactylus jessicalenorum"
"MEI"	"Mendosoma lineatum"
"LRL"	"Saint-Paul (Fausse morue)"
"BMO"	"Latridopsis ciliaris"
"SXA"	"Stalix histrio"
"OIU"	"Opistognathus aurifrons"
"LNH"	"Lonchopisthus higmani"
"OXD"	"Ostracoberyx dorygenys"
"GML"	"Gramma loreto"
"LGF"	"Lipogramma flavescens"
"ODS"	"Barbure rayé"
"OLX"	"Barbure à six doigts"
"OYO"	"Barbure bleu"
"ODP"	"Barbure jaune"
"OAX"	"Barbure à tâche noire"
"TGA"	"Gros capitaine"
"QRZ"	"Barbure svelte"
"QSF"	"Barbure longs-doigts"
"QSH"	"Barbure gros-doigts"
"QSJ"	"Barbure de rivière"
"QSK"	"Barbure tâche noire d'Afrique"
"OIE"	"Scorpis aequipinnis"
"OIV"	"Scorpis violacea"
"VIX"	"Vinculum sexfasciatum"
"KYC"	"Calicagère bleue"
"KIN"	"Calicagère grise"
"KYE"	"Calicagère de Cortez"
"KYI"	"Calicagère jaune"
"KYS"	"Calicagère blanche"
"KYB"	"Kyphosus bigibbus"
"KYV"	"Saupe grise à lignes jaunes"
"NSH"	"Neoscorpis lithophilus"
"HRZ"	"Calicagère mignonne"
"ECO"	"Sectator ocyurus"
"RCE"	"Parapriacanthus elongatus"
"MHD"	"Pempheris adspersus"
"MHL"	"Pempheris oualensis"
"MHI"	"Pempheris poeyi"
"MHV"	"Poisson-hachette"
"SPS"	"Forgeron tacheté"
"SIC"	"Forgeron ailé"
"DRL"	"Drepane longimana"
"MPH"	"Amphichaetodon howensis"
"HLJ"	"Chelmon muelleri"
"HNT"	"Chelmon rostratus"
"HNK"	"Chelmonops truncatus"
"CDV"	"Coradion à grandes nageoires"
"HTJ"	"Hemitaurichthys polylepis"
"JON"	"Papillon à nez noir"
"RCC"	"Parachaetodon ocellatus"
"ROD"	"Prognathodes dichrous"
"HTP"	"Chaetodon capistratus"
"HTI"	"Chaetodon humeralis"
"HTS"	"Chaetodon striatus"
"HTH"	"Chaetodon hoefleri"
"HTE"	"Chaetodon aureofasciatus"
"HNM"	"Poisson cocher commun"
"MTK"	"Malpulutta kretseri"
"FCO"	"Parasphaerichthys ocellatus"
"FMA"	"Parosphromenus allani"
"FMC"	"Pseudosphromenus cupanus"
"FRR"	"Sphaerichthys acrostoma"
"FGS"	"Gourami peau de serpent"
"TGH"	"Gourami bleu"
"TKL"	"Trichopsis pumila"
"MRH"	"Macropodus chinensis"
"FGO"	"Gourami embrasseur"
"IUC"	"Amarsipus carlsbergi"
"LFP"	"Luciocephalus pulcher"
"YRS"	"Bécune européenne"
"YRA"	"Sphyraena acutipinnis"
"BAC"	"Bécune jello"
"YRB"	"Bécune obtuse"
"YRN"	"Sphyraena pinguis"
"YRG"	"Sphyraena argentea"
"GBA"	"Barracuda"
"YRE"	"Bécune mexicaine"
"YRU"	"Bécune guachanche"
"YRI"	"Sphyraena idiastes"
"YRP"	"Bécune chandelle"
"YRH"	"Sphyraena helleri"
"YRJ"	"Sphyraena japonica"
"YRC"	"Becune obtuse"
"BAG"	"Bécune guinéenne"
"BAB"	"Sphyraena qenie"
"BAN"	"Bécune chevronnée"
"BAQ"	"Sphyraena flavicauda"
"YBS"	"Bécune de Forster"
"FON"	"Pholidichthys anguis"
"DAO"	"Dactyloscopus crossotus"
"GIO"	"Gillellus arenicola"
"HUJ"	"Heteristius cinctus"
"LKA"	"Leurochilus acon"
"MXB"	"Myxodagnus belone"
"PJV"	"Platygillellus altivelis"
"AIT"	"Apopterygion alta"
"AXA"	"Axoclinus carminalis"
"BEY"	"Bellapiscis lesleyae"
"BDO"	"Blennodon dorsale"
"BFA"	"Brachynectes fasciatus"
"EBA"	"Ceratobregma acanthops"
"CGJ"	"Crocodilichthys gracilis"
"YTJ"	"Cryptichthys jojettae"
"EAV"	"Enneanectes altivelis"
"EAB"	"Enneapterygius abeli"
"FOH"	"Forsterygion bathytaton"
"GID"	"Gilloblennius abditus"
"GBU"	"Gracilopterygion bapturum"
"GHC"	"Grahamina capito"
"HCQ"	"Helcogramma aquilum"
"HGT"	"Helcogrammoides antarcticus"
"KAS"	"Karalepis stewarti"
"LLD"	"Lepidoblennius haplodactylus"
"LNI"	"Lepidonectes bimaculata"
"NFB"	"Norfolkia brachylepis"
"NCE"	"Notoclinops caerulepunctus"
"OBA"	"Obliquichthys maryannae"
"RND"	"Ruanoho decemdigitatus"
"TBU"	"Trianectes bucephalus"
"TFC"	"Trinorfolkia clarkei"
"TDA"	"Triptérygion jaune"
"UCX"	"Ucla xenogrammus"
"BEK"	"Blennioclinus brachycephalus"
"BFG"	"Blennophis anguillaris"
"AXB"	"Cancelloxus burrelli"
"LNS"	"Bevecca"
"NOJ"	"Clinoporus biporosus"
"NUA"	"Clinus acuminatus"
"GFE"	"Cologrammus flavescens"
"RSJ"	"Cristiceps aurantiacus"
"EIB"	"Ericentrus rubrus"
"FUM"	"Fucomimus mus"
"GBE"	"Gibbonsia elegans"
"HUE"	"Heteroclinus roseus"
"MRD"	"Muraenoclinus dorsalis"
"MXC"	"Myxodes cristatus"
"PVG"	"Pavoclinus graminis"
"RCG"	"Ribeiroclinus eigenmanni"
"SIF"	"Smithichthys fucorum"
"SXN"	"Springeratus xanthosoma"
"NDD"	"Crevette à flancs rayés"
"NDJ"	"Crevette morotoge"
"NTF"	"Crevette charnière"
"DKB"	"Crevette fouet"
"PVJ"	"Crevette narval"
"NDS"	"Crevette narval orientale"
"EKR"	"Chevrette tsivakihini"
"EKN"	"Chevrette jawla"
"AKS"	"Chevrette akiami"
"EKE"	"Chevrette mauxia méridionale"
"EKC"	"Chevrette aviu"
"EKA"	"Chevrette australienne"
"ESH"	"Chevrette mauxia nordique"
"EKI"	"Chevrette mauxia de Formose"
"EKS"	"Chevrette alamang"
"ESV"	"Chevrette jembre"
"GTN"	"Crevette sakura"
"MVE"	"Microprosthema semilaeve"
"TPD"	"Stenopus hispidus"
"GBH"	"Saltarelle gabonaise"
"YAJ"	"Saltarelle panier"
"TYW"	"Saltarelle koros"
"YAC"	"Saltarelle camacuto"
"TYV"	"Saltarelle soldat"
"YAU"	"Saltarelle ekusa"
"YSU"	"Atyopsis moluccensis"
"RKV"	"Saltarelle glabre"
"RKP"	"Saltarelle bengalaise"
"CID"	"Saltarelle scie"
"RKI"	"Saltarelle africaine"
"RKE"	"Saltarelle malgache"
"RKR"	"Saltarelle aiguille"
"RKN"	"Saltarelle commune"
"RKK"	"Saltarelle tonkinoise"
"RKW"	"Saltarelle nez-camus"
"YKO"	"Saltarelle nuca"
"FYU"	"Acanthephyra curtirostris"
"YMF"	"Hymenodora frontalis"
"NJP"	"Notostomus japonicus"
"YSJ"	"Systellaspis braueri"
"XPA"	"Bouquet cipango"
"EXC"	"Bouquet quille"
"EXN"	"Bouquet mamtom"
"EXO"	"Bouquet sibérien"
"EXT"	"Bouquet oriental"
"EXY"	"Bouquet rosna"
"EXU"	"Exopalaemon vietnamicus"
"UFU"	"Bouquet du bas Gange"
"UPO"	"Bouquet Bombay"
"NLH"	"Bouquet étier"
"NLC"	"Bouquet covac"
"NLN"	"Bouquet araignée"
"LKK"	"Bouquet mississippi"
"MPQ"	"Bouquet oriental des herbiers"
"MSZ"	"Bouquet chinois des herbiers"
"TKZ"	"Bouquet tonkinois"
"PVR"	"Bouquet atlantique des canaux"
"PVV"	"Bouquet des marais"
"LMQ"	"Bouquet des étangs"
"PZY"	"Bouquet de l'Ebre"
"LKI"	"Bouquet de lagune"
"LNQ"	"Leandrites indicus"
"PAA"	"Bouquet balte"
"MOZ"	"Bouquet mangrove"
"PNQ"	"Bouquet flaque"
"PVK"	"Bouquet chinois des canaux"
"PMW"	"Bouquet de lac"
"PIQ"	"Bouquet delta"
"PMZ"	"Bouquet migrateur"
"MMV"	"Bouquet Zaïre"
"ONQ"	"Bouquet zélateur caraïbe"
"CPR"	"Bouquet commun"
"OOJ"	"Bouquet gladiateur"
"OUI"	"Bouquet zélateur indien"
"OAP"	"Bouquet potitinga"
"OSK"	"Bouquet charpentier"
"OXH"	"Bouquet posidonie"
"LHK"	"Bouquet tropical"
"LMW"	"Bouquet des marées"
"LHY"	"Bouquet Hilton"
"MBK"	"Bouquet pintade"
"MNX"	"Bouquet nippon"
"MMZ"	"Bouquet tipattes"
"MKK"	"Bouquet rizière"
"PRF"	"Bouquet géant"
"YGF"	"Gymnogongrus griffithsiae"
"YGJ"	"Gymnogongrus tenuis"
"GKF"	"Gymnogongrus furcellatus"
"ISV"	"Rissoelle des rochers"
"OIK"	"Fausse épinette"
"OKF"	"Solieria filiformis"
"NDQ"	"Arche antique"
"NDC"	"Arche corbeille"
"NDV"	"Arche du déluge"
"NDE"	"Arche rouillée"
"NDN"	"Arche pied d'âne"
"NDM"	"Arche de Mazatlan"
"NDT"	"Arche rayonnante"
"NDO"	"Arche noduleuse"
"NQR"	"Arche de Reinhart"
"NQT"	"Arche noire"
"NDL"	"Arche auriculée"
"NRQ"	"Arche brune"
"DRG"	"Arche du Sénégal"
"NDZ"	"Arche ovale"
"MVS"	"Megalonaias nervosa"
"UBD"	"Pleurobema cordatum"
"EPQ"	"Ellipsaria lineolata"
"MFY"	"Margaritifera margaritifera"
"MFC"	"Margaritifera falcata"
"VLI"	"Villosa iris"
"LFK"	"Lampsis fasciola"
"YGR"	"Pygadon grandis"
"SWT"	"Anodonte des étangs"
"PNM"	"Pintadine à lèvre noire"
"PNX"	"Huître perlière"
"IKN"	"Pinctada anomioides"
"IKP"	"Pinctada capensis"
"PNF"	"Huître perlière japonaise"
"IKH"	"Pinctada chemnitzii"
"IKI"	"Pinctada imbricata"
"IKM"	"Huître perlière mexicaine"
"IKS"	"Pinctada sugillata"
"IDM"	"Pintadine tachetée"
"IDR"	"Pintadine radiée"
"PTE"	"Huître perlière ailée"
"TEW"	"Avicule ailée"
"TPV"	"Avicule martinet"
"EHJ"	"Avicule de Tarente"
"KNP"	"Huître plicatule"
"OGQ"	"Ostrea angasi"
"OAH"	"Ostrea atherstonei"
"OCH"	"Huître plate chilienne"
"ODW"	"Ostrea denselamellosa"
"OYF"	"Huître plate européenne"
"OFO"	"Huître plate yaquina"
"OAQ"	"Ostrea equestris"
"ODE"	"Huître plate de Guinée"
"OYH"	"Huître plate Olympie"
"OAK"	"Saccostrea kegaki"
"KOM"	"Saccostrea malabonensis"
"KOX"	"Saccostrea mordax"
"KOU"	"Huître palmée"
"CSC"	"Huître-capuchon"
"OYS"	"Huître creuse d'Australie"
"OYN"	"Saccostrea echinata"
"DDF"	"Huître feuille"
"DDO"	"Dendostrea frons"
"YKG"	"Huître des anges"
"IOM"	"Striostrea margaritacea"
"IOK"	"Huître irisée"
"LFI"	"Huître crete-de-coq"
"OYG"	"Huître creuse du Pacifique"
